nom,adresse,code_postal,latitude,longitude,region_source,source
SG SMC,"66 AV FRANCIS TONNER, 06150 CANNES",6150.0,43.5500731,6.9659176,agences-alpes-maritimes-06,BNP
SG SMC,"14 RUE D'ANTIBES, 06400 CANNES",6400.0,43.5522801,7.0171097,agences-alpes-maritimes-06,BNP
SG SMC,"96 AV GEORGES POMPIDOU, 06130 GRASSE",6130.0,43.6481294,6.9361335,agences-alpes-maritimes-06,BNP
SG SMC,"140 BD WILSON, 06160 ANTIBES",6160.0,43.5737585,7.1165158,agences-alpes-maritimes-06,BNP
SG SMC,"64 B RUE G CLEMENCEAU, 06480 LA COLLE SUR LOUP",6480.0,43.6869253,7.0927426,agences-alpes-maritimes-06,BNP
SG SMC,"12 RUE DES MURIERS, 06110 LE CANNET",6110.0,43.5734439,7.0172108,agences-alpes-maritimes-06,BNP
SG SMC,"98 BD SADI CARNOT, 06110 CANNET",6110.0,43.5745809,7.0162811,agences-alpes-maritimes-06,BNP
SG SMC,"69 AV FRANKLIN ROOSEVELT, 06110 LE CANNET",6110.0,43.572783,7.0001987,agences-alpes-maritimes-06,BNP
SG SMC,"42 CHE DU FLAQUIER NORD, 06530 LE TIGNET",6530.0,43.6286553,6.8503664,agences-alpes-maritimes-06,BNP
SG SMC,"809 BD DES ECUREUILS, 06210 MANDELIEU LA NAPOULE",6210.0,43.5454871,6.9401958,agences-alpes-maritimes-06,BNP
SG SMC,"6 AV BOYER, 06500 MENTON",6500.0,43.7739591,7.4977457,agences-alpes-maritimes-06,BNP
SG SMC,"27 PORTE DE FRANCE, 06500 MENTON",6500.0,43.7846522,7.5210466,agences-alpes-maritimes-06,BNP
SG SMC,"600 RTE DE LA ROQUETTE, 06370 MOUANS SARTOUX",6370.0,43.612912,6.968826,agences-alpes-maritimes-06,BNP
SG SMC,"52 AV DE TOURNAMY, 06250 MOUGINS",6250.0,43.6033576,6.9871421,agences-alpes-maritimes-06,BNP
SG SMC,"45 BD DUBOUCHAGE, 06000 NICE",6000.0,43.7005788,7.2684985,agences-alpes-maritimes-06,BNP
SG SMC,"39 T BD DE CIMIEZ, 06000 NICE",6000.0,43.7060268,7.2702279,agences-alpes-maritimes-06,BNP
SG SMC,"82 BD DE CIMIEZ, 06000 NICE",6000.0,43.716524,7.2726815,agences-alpes-maritimes-06,BNP
SG SMC,"10 PL GARIBALDI, 06000 NICE",6000.0,43.701269,7.2806016,agences-alpes-maritimes-06,BNP
SG SMC,"30 BD GORBELLA, 06100 NICE",6100.0,43.7202392,7.2567918,agences-alpes-maritimes-06,BNP
SG SMC,"21 BD FRANCOIS GROSSO, 06000 NICE",6000.0,43.6958577,7.2516071,agences-alpes-maritimes-06,BNP
SG SMC,"8 AV JEAN MEDECIN, 06000 NICE",6000.0,43.6989444,7.2692384,agences-alpes-maritimes-06,BNP
SG SMC,"2 PL ILE DE BEAUTE, 06300 NICE",6300.0,43.698537,7.2853053,agences-alpes-maritimes-06,BNP
SG SMC,"15 B RUE LEPANTE, 06000 NICE",6000.0,43.7013202,7.2652069,agences-alpes-maritimes-06,BNP
SG SMC,"4 PL GAL DE GAULLE, 06000 NICE",6000.0,43.7013202,7.2652069,agences-alpes-maritimes-06,BNP
SG SMC,"15 AV DE LA CALIFORNIE, 06200 NICE",6200.0,43.6907121,7.2437571,agences-alpes-maritimes-06,BNP
SG SMC,"31 AV MALAUSSENA, 06000 NICE",6000.0,43.7088986,7.2624545,agences-alpes-maritimes-06,BNP
SG SMC,"22 RUE VERDI, 06000 NICE",6000.0,43.6996682,7.2594872,agences-alpes-maritimes-06,BNP
SG SMC,"17 AV AUGUSTE VEROLA, 06200 NICE",6200.0,43.7106397,7.1939782,agences-alpes-maritimes-06,BNP
SG SMC,"22 AV SAINT-SYLVESTRE, 06100 NICE",6100.0,43.7255071,7.2504649,agences-alpes-maritimes-06,BNP
SG SMC,"6 BD SAINT-ROCH, 06300 NICE",6300.0,43.7092179,7.2929302,agences-alpes-maritimes-06,BNP
SG SMC,"40 AV STE-MARGUERITE, 06200 NICE",6200.0,43.6782472,7.2204715,agences-alpes-maritimes-06,BNP
SG SMC,"2 RUE LEBON, 06530 PEYMEINADE",6530.0,43.641991,6.8756858,agences-alpes-maritimes-06,BNP
SG SMC,"CENTRE COMMERCIAL 3000, 06700 ST LAURENT DU VAR",6700.0,43.6592725,7.1953374,agences-alpes-maritimes-06,BNP
